# ** mobtypes.txt **
# Faerun's Legends
# ID	TYPE	FLAGS
1	MONSTER	0
2	MONSTER	0
3	MONSTER	0
4	MONSTER	1008
5	ANIMAL	2A
6	ANIMAL	28
7	MONSTER	0
8	MONSTER	1900
9	MONSTER	1008
10	MONSTER	1008
11	MONSTER	0
12	MONSTER	1009
13	MONSTER	1004
14	MONSTER	1000
15	MONSTER	1004
16	MONSTER	1004
17	MONSTER	0
18	MONSTER	0
19	MONSTER	0
20	MONSTER	0
21	MONSTER	0
22	MONSTER	A00
23	ANIMAL	20
24	MONSTER	1000
25	ANIMAL	20
26	MONSTER	0
27	ANIMAL	20
28	MONSTER	0
29	ANIMAL	1020
30	MONSTER	8
31	MONSTER	0
33	MONSTER	0
34	MONSTER	0
35	MONSTER	0
36	MONSTER	0
37	ANIMAL	20
38	MONSTER	8
39	MONSTER	8
40	MONSTER	8
41	MONSTER	0
42	MONSTER	0
43	MONSTER	8
44	MONSTER	0
45	MONSTER	0
46	MONSTER	1
47	MONSTER	800
48	MONSTER	0
49	MONSTER	9
50	MONSTER	0
51	MONSTER	0
52	ANIMAL	20
53	MONSTER	0
54	MONSTER	0
55	MONSTER	0
56	MONSTER	0
57	MONSTER	0
58	MONSTER	0
59	MONSTER	1009
60	MONSTER	1009
61	MONSTER	1009
62	MONSTER	9
63	MONSTER	0
64	ANIMAL	20
65	ANIMAL	20
66	MONSTER	0
67	MONSTER	8
68	MONSTER	0
69	MONSTER	0
70	MONSTER	0
71	MONSTER	0
72	MONSTER	1000
73	MONSTER	0
74	MONSTER	0
75	MONSTER	0
76	MONSTER	0
77	MONSTER	0
78	MONSTER	0
79	MONSTER	0
80	MONSTER	0
81	ANIMAL	20
82	MONSTER	0
83	MONSTER	0
84	MONSTER	0
85	MONSTER	1000
86	MONSTER	0
87	MONSTER	0
88	MONSTER	0
89	MONSTER	0
90	MONSTER	0
91	MONSTER	0
92	MONSTER	0
93	MONSTER	0
94	MONSTER	0
96	MONSTER	0
97	ANIMAL	20
98	ANIMAL	20
99	ANIMAL	20
100	MONSTER	0
101	MONSTER	0
102	MONSTER	8
103	MONSTER	1
104	MONSTER	9
106	MONSTER	9
107	MONSTER	0
108	MONSTER	0
109	MONSTER	0
110	MONSTER	0
111	MONSTER	0
112	MONSTER	0
113	MONSTER	0
114	MONSTER	0
115	MONSTER	0
116	MONSTER	0
117	MONSTER	0
118	MONSTER	0
119	MONSTER	0
120	MONSTER	0
121	MONSTER	0
122	ANIMAL	0
123	MONSTER	0
124	MONSTER	0
125	MONSTER	0
126	MONSTER	0
127	ANIMAL	20
128	MONSTER	0
129	animal 0
130	MONSTER	8
131	MONSTER	0
132	ANIMAL	0
133	ANIMAL	20
134	ANIMAL	20
135	MONSTER	0
136	MONSTER	0
137	MONSTER	0
138	MONSTER	0
139	MONSTER	0
140	MONSTER	0
141	MONSTER	0
142	MONSTER	0
143	MONSTER	0
144	SEA_MONSTER	0
145	SEA_MONSTER	0
146	MONSTER	0
147	MONSTER	0
148	MONSTER	0
149	MONSTER	0
150	SEA_MONSTER	0
151	SEA_MONSTER	0
152	MONSTER	0
153	MONSTER	0
154	MONSTER	0
155	MONSTER	0
157	MONSTER	0
158	MONSTER	4
159	MONSTER	4
160	MONSTER	4
